Order_ID,Order_Date,Product_Category,Product_SKU,Quantity_Units,Production_Facility,Customer_Region,Order_Priority,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delivery_Status,Calculated_Risk_Score,Machine_Utilization_Pct,Quality_Score,Revenue_EUR,Profit_EUR,Order_Month,Order_Quarter,Order_Year,Day_of_Week,Is_Peak_Season
FED-000001,2024-10-16,Wine_Labels,WIN-9935,59934,Barcelona_ES,Italy,Express,4,4,On_Time,0.075,94.6,98.0,8990.1,2567.59,10,4,2024,Wednesday,1
FED-000002,2023-03-31,Luxury_Packaging,LUX-4257,11116,Verona_IT,Rest_of_Europe,Critical,9,8,On_Time,0.071,81.2,93.9,27790.0,8012.98,3,1,2023,Friday,0
FED-000003,2024-10-27,Self_Adhesive_Materials,SEL-3615,82258,Chicago_US,Rest_of_Europe,Express,2,1,On_Time,0.155,75.6,93.9,6580.64,2179.41,10,4,2024,Sunday,1
FED-000004,2024-12-15,Luxury_Packaging,LUX-2584,8287,Barcelona_ES,Asia_Pacific,Express,6,5,On_Time,0.114,80.8,90.7,20717.5,7220.41,12,4,2024,Sunday,0
FED-000005,2024-01-03,Self_Adhesive_Materials,SEL-7201,77025,Sao_Paulo_BR,Italy,Express,2,2,On_Time,0.134,81.4,95.2,6162.0,2038.11,1,1,2024,Wednesday,0
FED-000006,2023-03-22,Luxury_Packaging,LUX-4733,7598,Sao_Paulo_BR,Rest_of_Europe,Standard,9,10,Slightly_Late,0.244,88.1,93.7,18995.0,5014.97,3,1,2023,Wednesday,0
FED-000007,2023-10-24,Art_Design_Papers,ART-3664,4973,Fabriano_IT,Rest_of_Europe,Standard,4,4,On_Time,0.339,96.0,92.6,5967.6,1797.27,10,4,2023,Tuesday,1
FED-000008,2024-01-15,Luxury_Packaging,LUX-9751,21113,Barcelona_ES,Rest_of_Europe,Standard,9,11,Slightly_Late,0.259,87.5,96.8,52782.5,16478.03,1,1,2024,Monday,0
FED-000009,2023-09-08,Wine_Labels,WIN-6313,47687,Chicago_US,Asia_Pacific,Express,4,4,On_Time,0.067,80.0,93.6,7153.05,2524.12,9,3,2023,Friday,1
FED-000010,2023-02-27,Wine_Labels,WIN-6155,23066,Verona_IT,Rest_of_Europe,Standard,3,3,On_Time,0.047,76.2,95.3,3459.9,1211.73,2,1,2023,Monday,0
FED-000011,2023-08-06,Self_Adhesive_Materials,SEL-9830,54692,Chicago_US,Rest_of_Europe,Standard,4,5,Slightly_Late,0.24,98.0,96.9,4375.36,1300.04,8,3,2023,Sunday,1
FED-000012,2023-09-27,Self_Adhesive_Materials,SEL-9348,68785,Chicago_US,Rest_of_Europe,Standard,3,8,Late,0.245,79.7,97.2,5502.8,1245.59,9,3,2023,Wednesday,1
